NAME,MSINI,MASS,A,PER,PLANETDISCMETH
HD 60532 b,1.0348,1.0348,0.759258,201.3,RV
Kepler-1321 b,,0.0802404,0.0794372,11.12830484,Transit
Kepler-570 b,,0.0191406,0.0505272,4.301662,Transit
Kepler-1151 b,,0.0166923,0.305198,65.6478424,Transit
HAT-P-11 b,0.0825071,0.0825354,0.0525443,4.8878162,Transit
Kepler-450 c,,,0.133829,15.413135,Transit
Kepler-406 b,0.0199895,0.0199792,0.0361437,2.42629,Transit
Kepler-171 b,,0.0178911,0.0506781,4.166972,Transit
Kepler-627 b,,0.0434306,0.252724,40.6994443,Transit
Kepler-330 b,,0.00829825,0.0799685,8.25978,Transit
HD 104067 b,0.185935,0.185935,0.264333,55.806,RV
Kepler-1452 b,,0.0222358,0.268995,42.913751,Transit
Kepler-229 b,,0.0165098,0.0664249,6.252972,Transit
Kepler-638 b,,0.0134548,0.0624727,6.07972888,Transit
Kepler-144 c,,0.00829825,0.0914719,10.104665,Transit
Kepler-1372 b,,0.00668223,0.023292,1.31155557,Transit
Kepler-758 e,,0.0124263,0.083574,8.1934719,Transit
Kepler-94 b,,0.0341063,0.033677,2.50806,Transit
Kepler-115 c,,0.0208911,0.0846204,8.990889,Transit
Kepler-320 c,,0.00871939,0.134093,17.934937,Transit
Kepler-1478 b,,0.0127496,0.174395,26.0840594,Transit
HD 195019 b,3.57989,3.57989,0.136688,18.20132,RV
Kepler-274 c,,0.0135483,0.202153,33.197861,Transit
Kepler-1627 b,,0.0421671,0.0696812,7.20283653,Transit
GJ 832 b,0.684002,0.684002,3.56153,3657,RV
Kepler-889 b,,0.00392895,0.0492984,3.744439,Transit
Kepler-26 e,,0.0186399,0.254259,46.827915,Transit
GJ 667 C b,0.0174951,0.0174951,0.0504277,7.1999,RV
Kepler-254 d,,0.0196646,0.138108,18.746477,Transit
Kepler-592 b,,0.0183949,0.0395795,2.82019241,Transit
CoRoT-19 b,1.10724,1.10792,0.0516604,3.89713,Transit
TRAPPIST-1 e,,0.002429,0.0291683,6.099043,Transit
Kepler-264 b,,0.0333072,0.231966,40.806231,Transit
Kepler-604 b,,0.020755,0.172254,25.85501786,Transit
Kepler-557 b,,0.021778,0.048527,3.70598955,Transit
Kepler-1237 b,,0.024536,0.369378,84.5733226,Transit
Kepler-122 c,,0.115399,0.105218,12.465988,Transit
Kepler-142 b,,0.014692,0.0313162,2.024152,Transit
alpha Ari b,1.71662,1.71662,1.1296,380,RV
HATS-18 b,1.97553,1.98164,0.0176159,0.8378434,Transit
Kepler-1450 b,,0.0126737,0.251,54.5094166,Transit
Kepler-148 d,,0.428344,0,51.84688575,Transit
Kepler-1148 b,,0.0125233,0.0194926,1.10446351,Transit
YZ Cet c,0.00307976,0.00307976,0.0208968,3.06008,RV
Kepler-240 c,,0.0165098,0.0779794,7.953528,Transit
Kepler-545 b,,0.0220818,0.111023,13.24934059,Transit
61 Vir b,0.016075,0.016075,0.05006,4.215,RV
Kepler-298 b,,0.014454,0.0936962,10.475464,Transit
HD 210702 b,1.86459,1.86459,1.17218,354.29,RV
Kepler-1299 b,,0.0265453,0.140972,19.9400874,Transit
Kepler-1564 b,,0.0109866,0.131467,18.0540381,Transit
Kepler-363 d,,0.0151834,0.102192,11.932125,Transit
HAT-P-4 b,0.671507,0.671507,0.0443853,3.056536,Transit
Kepler-1414 b,,0.00609283,0.0420065,3.51576315,Transit
Kepler-485 b,,1,0.0438587,3.2432598,Transit
HAT-P-21 b,4.07346,4.07833,0.0494951,4.124481,Transit
Kepler-398 d,,0.00189081,0,6.83437001,Transit
Kepler-1180 b,,0.0147338,0.132431,16.8601286,Transit
Kepler-177 c,,,0.26954,49.412,Transit
Kepler-1388 b,,0.020755,0.0893266,12.2854603,Transit
Kepler-215 d,,0.0184218,0.192566,30.864423,Transit
Kepler-579 b,,0.0147338,0.0885238,9.66857723,Transit
Kepler-232 c,,0.0463015,0.0990113,11.379349,Transit
Kepler-1009 b,,0.0162741,0.0829006,11.35011917,Transit
Kepler-346 b,,0.0216742,0.0682408,6.511127,Transit
KELT-21 b,,1,0.0522499,3.6127647,Transit
Kepler-330 c,,0.0143757,0.124035,15.955387,Transit
HD 220842 b,3.18484,3.18484,0.740087,218.47,RV
Kepler-1233 b,,0.0208973,0.260643,45.1263042,Transit
