week,status,age,deaths,pop,percent_of_age_group,mortality_rate_per_100k
2021-07-02,Within 21 days of first dose,60-69,0.0,8492.0,0.2,
2021-07-02,Within 21 days of first dose,70-79,0.0,3022.0,0.1,
2021-07-02,Within 21 days of first dose,80+,0.0,1605.0,0.1,
2021-07-09,Within 21 days of first dose,10-59,1.0,1781793.0,6.6,
2021-07-09,Within 21 days of first dose,60-69,0.0,7809.0,0.1,
2021-07-09,Within 21 days of first dose,70-79,0.0,2632.0,0.1,
2021-07-09,Within 21 days of first dose,80+,0.0,1322.0,0.1,
2021-07-16,Within 21 days of first dose,10-59,0.0,1150828.0,4.2,
2021-07-16,Within 21 days of first dose,60-69,0.0,7092.0,0.1,
2021-07-16,Within 21 days of first dose,70-79,0.0,2376.0,0.1,
2021-07-16,Within 21 days of first dose,80+,0.0,1167.0,0.0,
2021-07-23,Within 21 days of first dose,10-59,0.0,714727.0,2.6,
2021-07-23,Within 21 days of first dose,60-69,1.0,6250.0,0.1,
2021-07-23,Within 21 days of first dose,70-79,0.0,2082.0,0.0,
2021-07-23,Within 21 days of first dose,80+,0.0,1019.0,0.0,
2021-07-30,Within 21 days of first dose,10-59,2.0,481233.0,1.8,
2021-07-30,Within 21 days of first dose,60-69,0.0,5457.0,0.1,
2021-07-30,Within 21 days of first dose,70-79,1.0,1855.0,0.0,
2021-07-30,Within 21 days of first dose,80+,0.0,913.0,0.0,
2021-08-06,Within 21 days of first dose,10-59,0.0,370602.0,1.4,
2021-08-06,Within 21 days of first dose,60-69,0.0,4759.0,0.1,
2021-08-06,Within 21 days of first dose,70-79,0.0,1590.0,0.0,
2021-08-06,Within 21 days of first dose,80+,0.0,835.0,0.0,
2021-08-13,Within 21 days of first dose,10-59,0.0,338475.0,1.3,
2021-08-13,Within 21 days of first dose,60-69,1.0,4236.0,0.1,
2021-08-13,Within 21 days of first dose,70-79,1.0,1389.0,0.0,
2021-08-13,Within 21 days of first dose,80+,2.0,714.0,0.0,
2021-08-20,Within 21 days of first dose,10-59,0.0,402689.0,1.5,
2021-08-20,Within 21 days of first dose,60-69,1.0,3874.0,0.1,
2021-08-20,Within 21 days of first dose,70-79,0.0,1240.0,0.0,
2021-08-20,Within 21 days of first dose,80+,2.0,633.0,0.0,
2021-08-27,Within 21 days of first dose,10-59,0.0,524290.0,1.9,
2021-08-27,Within 21 days of first dose,60-69,0.0,3639.0,0.1,
2021-08-27,Within 21 days of first dose,70-79,0.0,1166.0,0.0,
2021-08-27,Within 21 days of first dose,80+,0.0,581.0,0.0,
2021-09-03,Within 21 days of first dose,10-59,1.0,538318.0,2.0,
2021-09-03,Within 21 days of first dose,60-69,0.0,3096.0,0.1,
2021-09-03,Within 21 days of first dose,70-79,0.0,978.0,0.0,
2021-09-03,Within 21 days of first dose,80+,0.0,501.0,0.0,
2021-09-10,Within 21 days of first dose,10-59,0.0,446643.0,1.7,
2021-09-10,Within 21 days of first dose,60-69,0.0,2814.0,0.1,
2021-09-10,Within 21 days of first dose,70-79,0.0,876.0,0.0,
2021-09-10,Within 21 days of first dose,80+,1.0,438.0,0.0,
2021-09-17,Within 21 days of first dose,10-59,0.0,294310.0,1.1,
2021-09-17,Within 21 days of first dose,60-69,0.0,2559.0,0.0,
2021-09-17,Within 21 days of first dose,70-79,0.0,765.0,0.0,
2021-09-17,Within 21 days of first dose,80+,0.0,360.0,0.0,
2021-09-24,Within 21 days of first dose,10-59,1.0,231831.0,0.9,
2021-09-24,Within 21 days of first dose,60-69,0.0,2553.0,0.0,
2021-09-24,Within 21 days of first dose,70-79,0.0,821.0,0.0,
2021-09-24,Within 21 days of first dose,80+,0.0,381.0,0.0,
2021-01-08,21 days or more after first dose,10-59,0.0,38593.0,0.1,
2021-01-08,21 days or more after first dose,60-69,0.0,6791.0,0.1,
2021-01-08,21 days or more after first dose,70-79,0.0,1584.0,0.0,
2021-01-08,21 days or more after first dose,80+,37.0,42082.0,1.7,87.9
2021-01-15,21 days or more after first dose,10-59,0.0,109533.0,0.4,
2021-01-15,21 days or more after first dose,60-69,1.0,21260.0,0.4,
2021-01-15,21 days or more after first dose,70-79,5.0,8625.0,0.2,58.0
2021-01-15,21 days or more after first dose,80+,177.0,195916.0,7.8,90.3
2021-01-22,21 days or more after first dose,10-59,1.0,203186.0,0.7,
2021-01-22,21 days or more after first dose,60-69,2.0,40131.0,0.8,
2021-01-22,21 days or more after first dose,70-79,17.0,28921.0,0.7,58.8
2021-01-22,21 days or more after first dose,80+,242.0,298258.0,11.9,81.1
2021-01-29,21 days or more after first dose,10-59,2.0,435894.0,1.6,
2021-01-29,21 days or more after first dose,60-69,5.0,83458.0,1.6,6.0
2021-01-29,21 days or more after first dose,70-79,27.0,101525.0,2.4,26.6
2021-01-29,21 days or more after first dose,80+,307.0,522670.0,20.8,58.7
2021-02-05,21 days or more after first dose,10-59,5.0,865106.0,3.2,0.6
2021-02-05,21 days or more after first dose,60-69,11.0,166826.0,3.2,6.6
2021-02-05,21 days or more after first dose,70-79,68.0,325624.0,7.6,20.9
2021-02-05,21 days or more after first dose,80+,668.0,1062863.0,42.4,62.8
2021-02-12,21 days or more after first dose,10-59,9.0,1352007.0,4.9,0.7
2021-02-12,21 days or more after first dose,60-69,11.0,279320.0,5.3,3.9
2021-02-12,21 days or more after first dose,70-79,118.0,919241.0,21.5,12.8
2021-02-12,21 days or more after first dose,80+,747.0,1623238.0,64.8,46.0
2021-02-19,21 days or more after first dose,10-59,13.0,1793407.0,6.6,0.7
2021-02-19,21 days or more after first dose,60-69,24.0,438516.0,8.4,5.5
2021-02-19,21 days or more after first dose,70-79,159.0,1889112.0,44.2,8.4
2021-02-19,21 days or more after first dose,80+,771.0,1868146.0,74.6,41.3
2021-02-26,21 days or more after first dose,10-59,3.0,2152786.0,7.9,0.1
2021-02-26,21 days or more after first dose,60-69,27.0,721644.0,13.8,3.7
2021-02-26,21 days or more after first dose,70-79,122.0,3001489.0,70.3,4.1
2021-02-26,21 days or more after first dose,80+,601.0,1945747.0,77.8,30.9
2021-03-05,21 days or more after first dose,10-59,15.0,2548102.0,9.3,0.6
2021-03-05,21 days or more after first dose,60-69,32.0,1508347.0,28.7,2.1
2021-03-05,21 days or more after first dose,70-79,111.0,3727878.0,87.2,3.0
2021-03-05,21 days or more after first dose,80+,392.0,1930937.0,77.2,20.3
2021-03-12,21 days or more after first dose,10-59,15.0,3161587.0,11.6,0.5
